ranking,name,highSchool,position,height,weight,stars,rating,college
1,AJ Dybantsa,"Utah Prep (Brockton, MA)",SF," 6-9 "," 210 ",5,0.9999,BYU
2,Darryn Peterson,"Prolific Prep (Napa, CA)",CG," 6-5 "," 195 ",5,0.9995,Kansas
3,Cameron Boozer,"Miami Columbus (Miami, FL)",PF," 6-9 "," 235 ",5,0.9993,Duke
4,Nate Ament,"Highland School (Warrenton, VA)",PF," 6-10 "," 185 ",5,0.9991,Tennessee
5,Caleb Wilson,"Holy Innocents Episcopal School (Atlanta, GA)",PF," 6-9 "," 205 ",5,0.9981,North Carolina
6,Chris Cenac Jr.,"Link Academy (Branson, MO)",C," 6-10 "," 233 ",5,0.9981,Houston
7,Alijah Arenas,"Chatsworth (Chatsworth, CA)",SG," 6-6 "," 195 ",5,0.9974,USC
8,Mikel Brown Jr.,"DME Academy (Daytona Beach, FL)",PG," 6-3 "," 172 ",5,0.9969,Louisville
9,Koa Peat,"Perry (Gilbert, AZ)",PF," 6-8 "," 235 ",5,0.9969,Arizona
10,Brayden Burries,"Eastvale Roosevelt (San Bernardino, CA)",CG," 6-4 "," 200 ",5,0.9965,Arizona
11,Darius Acuff Jr.,"IMG Academy (Bradenton, FL)",PG," 6-2 "," 180 ",5,0.9964,Arkansas
12,Meleek Thomas,"Overtime Elite (Atlanta, GA)",SG," 6-3 "," 181 ",5,0.9956,Arkansas
13,Isiah Harwell,"Wasatch Academy (Mount Pleasant, UT)",SG," 6-6 "," 200 ",5,0.9955,Houston
14,Tounde Yessoufou,"St Joseph (Benin, BENI)",SF," 6-6 "," 210 ",5,0.9952,Baylor
15,Braylon Mullins,"Greenfield-Central (Greenfield, IN)",SG," 6-4 "," 180 ",5,0.9941,UConn
16,Kingston Flemings,"Brennan (San Antonio, TX)",PG," 6-3 "," 175 ",5,0.9934,Houston
17,Jalen Haralson,"La Lumiere School (La Porte, IN)",SF," 6-7 "," 210 ",5,0.9927,Notre Dame
18,Trey McKenney,"Orchard Lake St. Mary's (Flint, MI)",CG," 6-4 "," 225 ",5,0.9927,Michigan
19,Nikolas Khamenia,"Harvard Westlake (Studio City, CA)",SF," 6-8 "," 210 ",5,0.9922,Duke
20,Cayden Boozer,"Miami Columbus (Miami, FL)",PG," 6-4 "," 205 ",5,0.9921,Duke
21,Jasper Johnson,"Overtime Elite (Atlanta, GA)",SG," 6-4 "," 175 ",5,0.9917,Kentucky
