number,value,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state,user_attrs_best_iteration,user_attrs_class_order
0,1.3597114114835736,0.9829592426328188,8,1136,9.68936996014273,0.04299609545528411,COMPLETE,300,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
1,1.3579142861323448,0.5026997628658524,6,1463,14.517724423777263,0.0391889229836208,COMPLETE,760,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
2,1.3593113653905475,0.4084636259652571,8,1013,3.4546559488048425,0.012935621576985653,COMPLETE,800,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
3,1.3538363529943844,0.4879540063970539,4,1733,2.1861942533414838,0.012432636826507536,COMPLETE,1472,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
4,1.3617225712805503,0.5151599348927501,8,551,1.959586661911693,0.011583849670377257,COMPLETE,549,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
5,1.3560785130421649,0.6634041415344533,5,1959,1.65853154585968,0.012121058486542758,COMPLETE,1000,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
6,1.3597835825897429,0.15022162464248423,4,942,10.320124511613848,0.026249164244908706,COMPLETE,511,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
7,1.3622799900763523,0.48273465584471187,8,623,1.20697950777824,0.03582006116866854,COMPLETE,194,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
8,1.3586261168773555,0.023045072497390184,6,1923,8.580842670691075,0.13347364613881202,COMPLETE,82,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
9,1.3559804299469869,0.8473901625245064,6,2423,1.2910088540315947,0.02523196752695223,COMPLETE,420,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
10,1.3569714213367645,0.26810366291461446,4,2413,3.738159684560715,0.14547625106381754,COMPLETE,116,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
11,1.35613006065186,0.8973522337879191,6,2497,2.931492014762486,0.020912095135594895,COMPLETE,584,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
12,1.3552342718711552,0.7584046117617231,5,2011,1.0044628797144168,0.0194197375648298,COMPLETE,704,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
13,1.3543536802466691,0.7560239972990233,5,1805,1.0329597323690884,0.017233923555855277,COMPLETE,906,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
14,1.355712476435697,0.6129931978398593,5,1545,2.269037624077557,0.014721314489976824,COMPLETE,989,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
15,1.3539822495096934,0.3287952944204855,4,1606,4.972672771382719,0.017282317527721858,COMPLETE,1103,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
16,1.352754210218722,0.2879080165497804,4,1496,5.783599715250521,0.06945306083091346,COMPLETE,342,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
17,1.3539189070851851,0.2035459126750766,4,1317,6.220871339431831,0.08838960857806395,COMPLETE,319,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
18,1.3547213699146314,0.07760238395514768,4,2146,5.377423461046221,0.0763170011038314,COMPLETE,275,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
19,1.352166095036665,0.28176157602831176,5,1778,2.80723831413564,0.0576586267499686,COMPLETE,240,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
20,1.3587085424405678,0.3343621871608328,7,1337,7.313738952970436,0.0662398041609234,COMPLETE,190,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
21,1.3544590286834546,0.38411098516891057,5,1672,2.6096706893263146,0.05188130067956896,COMPLETE,327,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
22,1.352101395907288,0.2183650694858512,4,1780,4.1241070490937854,0.11238104382539792,COMPLETE,211,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
23,1.35840341552505,0.20339017203823723,5,2183,4.121567923601059,0.10153131914949397,COMPLETE,203,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
24,1.3552668648313095,0.14567000850601958,4,1367,4.606442567669843,0.061294946668853885,COMPLETE,337,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
25,1.3572436857055559,0.27374751267955744,5,1761,3.076689473545209,0.10938698000881897,COMPLETE,152,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
26,1.354132165497696,0.08691306610207516,4,2196,6.952794187704134,0.05324772992534114,COMPLETE,557,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
27,1.3560007348692178,0.24780823327174686,5,1851,4.257719098730369,0.08032130250205843,COMPLETE,209,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
