,precision,recall,f1-score,support
C,0.6919889502762431,0.9235023041474655,0.7911567311488353,1085.0
Combo G,0.5576271186440678,0.5998176845943483,0.577953447518665,1097.0
PF/C,0.6281645569620253,0.40717948717948715,0.4940883634100809,975.0
Pure PG,0.8,0.13278008298755187,0.2277580071174377,241.0
Scoring PG,0.5980392156862745,0.5104602510460251,0.5507900677200903,717.0
Stretch 4,0.6111111111111112,0.15602836879432624,0.24858757062146894,423.0
Wing F,0.5610169491525424,0.4811046511627907,0.5179968701095462,688.0
Wing G,0.5705244122965641,0.7907268170426065,0.6628151260504201,1596.0
accuracy,0.603048959249487,0.603048959249487,0.603048959249487,0.603048959249487
macro avg,0.6273090392661036,0.5001999558693251,0.5088932729620681,6822.0
weighted avg,0.6085629058823755,0.603048959249487,0.5780342462627701,6822.0
