split,class,row_count,pct
train,Wing G,1596,0.2339489885664028
train,Combo G,1097,0.16080328349457637
train,C,1085,0.15904426854294929
train,PF/C,975,0.14291996481970096
train,Scoring PG,717,0.10510114335971855
train,Wing F,688,0.10085019055995309
train,Stretch 4,423,0.06200527704485488
train,Pure PG,241,0.03532688361184404
valid,Wing G,297,0.26589077887197854
valid,C,170,0.1521933751119069
valid,PF/C,154,0.1378692927484333
valid,Combo G,149,0.13339301700984782
valid,Wing F,121,0.10832587287376902
valid,Scoring PG,103,0.09221128021486123
valid,Stretch 4,92,0.08236347358997315
valid,Pure PG,31,0.02775290957923008
test,Wing G,250,0.23786869647954328
test,C,155,0.14747859181731685
test,Combo G,149,0.14176974310180782
test,Wing F,132,0.12559467174119887
test,PF/C,125,0.11893434823977164
test,Scoring PG,115,0.10941960038058991
test,Stretch 4,85,0.08087535680304472
test,Pure PG,40,0.038058991436726926
