number,value,params_auto_class_weights,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state,user_attrs_best_iteration,user_attrs_class_order
0,1.455334175342944,Balanced,0.3722796952989562,6,893,1.3360690187915225,0.10100038468534667,COMPLETE,106,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
1,1.4577987796443888,Balanced,0.07521405807975767,6,1411,7.061745646071931,0.05612681606162163,COMPLETE,255,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
2,1.3814849282488972,SqrtBalanced,0.20514890334245384,5,672,5.038787314461759,0.03163420530858845,COMPLETE,507,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
3,1.3546419823837836,None,0.6758051321044339,5,2495,4.03070241384449,0.025898716750497125,COMPLETE,739,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
4,1.3824474814295644,SqrtBalanced,0.49593367447597814,5,564,1.1968139448572261,0.11443283685199848,COMPLETE,91,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
5,1.3603933805018453,None,0.6443470448599431,8,2349,1.4502640187594567,0.03662658193543098,COMPLETE,203,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
6,1.382856622438394,SqrtBalanced,0.5545323606822851,6,2408,12.908773684573548,0.014452337809670727,COMPLETE,1483,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
7,1.4605572178127237,Balanced,0.594491687929791,8,1191,4.919026111194275,0.013708639513313489,COMPLETE,903,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
8,1.3851005529789595,SqrtBalanced,0.1777947745282219,5,928,13.843045365434168,0.08931804000881484,COMPLETE,248,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
9,1.3622403797703129,None,0.6853844325630007,8,1057,1.538225649339671,0.04111776985231967,COMPLETE,153,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
10,1.3528623837957618,None,0.9859537002619128,4,1872,2.5931117603200584,0.01863854846449346,COMPLETE,1006,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
11,1.354373047351852,None,0.9872792686324677,4,1823,2.6862172960313933,0.021912031564219937,COMPLETE,855,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
12,1.3530507815976427,None,0.9994130877770208,4,1831,2.3484952621795867,0.020516986809047056,COMPLETE,1073,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
13,1.3542879861892598,None,0.9757505621080891,4,1883,2.4860887407832126,0.019008329679401175,COMPLETE,875,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
14,1.353173459580671,None,0.8469988783586189,4,1831,2.311875159533184,0.011252734062719537,COMPLETE,1799,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
15,1.353626537653153,None,0.8287209918188232,4,1545,3.4865467864806408,0.017199558877189325,COMPLETE,1181,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
16,1.3531168375688527,None,0.8289764411762727,4,2118,1.8715961553705212,0.010580688645253486,COMPLETE,1971,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
17,1.353604233968451,None,0.8969039896011823,5,1559,3.3361369541127774,0.05385884434545956,COMPLETE,252,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
18,1.359205213984222,None,0.7663436829903749,7,2138,1.9359306260683842,0.02579273730029015,COMPLETE,376,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
19,1.4552838862712631,Balanced,0.9576111758995632,4,2035,1.0156421624465544,0.015133733374343412,COMPLETE,1041,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
20,1.3559053464047481,None,0.7525180696963719,5,1574,7.243888765152703,0.023702033174060135,COMPLETE,723,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
21,1.353888045971722,None,0.8887408966691749,4,2170,1.8313110427451604,0.0105202759635321,COMPLETE,1624,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
22,1.3542850097401937,None,0.7885760570969842,4,2019,2.0416161903945027,0.010023861470586632,COMPLETE,1872,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
23,1.3535065734230904,None,0.9960051742339203,4,1721,2.994951582779441,0.012727766192394118,COMPLETE,1424,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
24,1.3518843860820686,None,0.896053382856933,4,2255,1.7954435880423065,0.020423075421278712,COMPLETE,998,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
25,1.3546110519471626,None,0.9319412930101371,5,2290,4.308021412969351,0.01841848231907763,COMPLETE,960,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
26,1.3544257747287671,None,0.8865491683816042,4,1352,1.6200170024005989,0.030740217212915828,COMPLETE,531,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
27,1.3541799621252233,None,0.9103174046470452,5,1944,2.747563738763144,0.02108853734403538,COMPLETE,736,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
28,1.4530053327189092,Balanced,0.9969459218703342,4,1705,2.344692415986273,0.04522126855555492,COMPLETE,466,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
29,1.3852550333152707,SqrtBalanced,0.7101959422570451,6,2292,1.1284542926732706,0.1494773093063334,COMPLETE,70,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
30,1.4570390285415427,Balanced,0.4307030116383267,4,2225,1.397764194244593,0.01657336912571011,COMPLETE,995,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
31,1.3546983823865804,None,0.8322597208949241,4,2082,1.8291846909865788,0.012402536004724836,COMPLETE,1277,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
32,1.3526172032226527,None,0.8152307255507901,4,1703,2.153735339973617,0.030765540330678905,COMPLETE,521,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
33,1.3538166826105424,None,0.7478974454152147,5,1698,3.1804561582461837,0.0300664101775131,COMPLETE,524,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
34,1.3536983330414336,None,0.9231739673508432,4,1349,2.3447496725977732,0.02637531333607272,COMPLETE,753,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
35,1.3560917973648958,None,0.8590531060018828,5,1976,3.743133573920331,0.035524254820515626,COMPLETE,478,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
36,1.3810783675045748,SqrtBalanced,0.02112786450082188,4,1458,2.1456926705633164,0.02050918287163623,COMPLETE,760,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
37,1.3588296072752022,None,0.7926386429434047,7,1774,6.569481738876016,0.07385636778514111,COMPLETE,181,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
38,1.453250922441202,Balanced,0.9326612965403132,4,1658,1.6492827344078562,0.028469651401546257,COMPLETE,847,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
39,1.380835076959559,SqrtBalanced,0.621109852231445,5,2494,1.1932966749661422,0.024080611729637585,COMPLETE,593,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
40,1.3540886828296586,None,0.2685811426156278,4,1205,1.3251645872083828,0.040301213430369326,COMPLETE,373,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
41,1.3526161353716408,None,0.8111015668339687,4,1915,2.652839868016385,0.01558324402241772,COMPLETE,1316,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
42,1.3541756423481084,None,0.7354200937854148,4,1891,2.771279383526364,0.016130217256155172,COMPLETE,1169,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
43,1.3547261436110094,None,0.8090442787936004,4,1940,4.237552947768106,0.018970023345826672,COMPLETE,1177,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
44,1.3534412568530383,None,0.6589429988495697,5,1828,2.581810401249561,0.013496780265480032,COMPLETE,1040,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
45,1.352581311142478,None,0.8686326589532495,4,1618,2.177943920166274,0.034563196110890114,COMPLETE,482,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
46,1.354211065045629,None,0.8718231646308123,4,723,2.962164309569767,0.03610458679323367,COMPLETE,549,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
47,1.379403838543377,SqrtBalanced,0.6945161530384553,5,1629,1.6344595311198102,0.04926029033472112,COMPLETE,269,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
48,1.3554225960009978,None,0.5909383909205275,4,1461,2.096708522322917,0.07436286805331745,COMPLETE,227,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
49,1.3543772271709589,None,0.5030325587606874,4,2409,5.094988718939064,0.03498243868393081,COMPLETE,593,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
