number,value,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state,user_attrs_best_iteration,user_attrs_class_order
0,1.3644818467756876,0.5530325808968111,8,2217,3.20320043002959,0.1272825153527929,COMPLETE,138,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
1,1.3433231436443331,0.5859261993237106,4,1725,3.695947772267092,0.10034037939082206,COMPLETE,458,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
2,1.374590641499,0.05148040475241267,8,1271,9.367089863370424,0.02205623170445471,COMPLETE,1270,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
3,1.354000255891634,0.08841334524131383,7,914,1.0401189989127497,0.12370042826855948,COMPLETE,153,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
4,1.3355686527466277,0.9836916216232724,5,1801,1.137628112577669,0.02817040664839508,COMPLETE,725,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
5,1.363465764551205,0.6792361145873118,8,864,4.297714352978466,0.02983857259993771,COMPLETE,642,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
6,1.3514181636288982,0.5348339552579459,5,585,10.863184360439204,0.10574258322137149,COMPLETE,584,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
7,1.3463435407493376,0.39335253922237123,6,2191,3.072030718579228,0.0468215463423687,COMPLETE,548,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
8,1.3608360521335818,0.1435715217981055,7,2420,7.004616055644319,0.051905396207578655,COMPLETE,822,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
9,1.353862638285312,0.17596686356013946,5,1055,3.3650240095999147,0.013346529931052746,COMPLETE,1045,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
10,1.3453967065886994,0.9406498455404044,4,1525,1.4054254012495837,0.010121336377105172,COMPLETE,1523,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
11,1.3383767235483757,0.9907799546582372,4,1746,1.63295962903275,0.06772758140192692,COMPLETE,587,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
12,1.3416995171967827,0.9920559589213332,5,1775,1.7549005324288336,0.05303077137250637,COMPLETE,487,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
13,1.3413830407927585,0.8368934419076655,4,1912,1.726987623070251,0.027905731031780377,COMPLETE,930,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
14,1.3454202364997154,0.7422599078592353,5,1378,1.0325946539773052,0.07778238998010528,COMPLETE,262,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
15,1.34238211226174,0.8554273673067309,6,1979,2.1112076858245477,0.019223307262412517,COMPLETE,1039,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
16,1.338500275715839,0.8675200957337881,4,2126,2.413547859645772,0.03821589756653585,COMPLETE,807,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
17,1.345835242102853,0.9819195213884284,6,1635,1.2329695723720167,0.06853478010107471,COMPLETE,227,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
18,1.3387437111451852,0.7594483635229533,5,1318,1.5333028586525854,0.016879868012771856,COMPLETE,1316,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
19,1.3373885018117662,0.8960701156003864,4,1913,5.034314343420602,0.034402935002052284,COMPLETE,1268,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
