,precision,recall,f1-score,support
C,0.6534974093264249,0.9299539170506912,0.7675922403955877,1085.0
Combo G,0.5257048092868989,0.577939835916135,0.5505861919235779,1097.0
PF/C,0.6003552397868561,0.3466666666666667,0.43953185955786733,975.0
Pure PG,1.0,0.07468879668049792,0.138996138996139,241.0
Scoring PG,0.5315315315315315,0.49372384937238495,0.5119305856832972,717.0
Stretch 4,0.8548387096774194,0.12529550827423167,0.21855670103092784,423.0
Wing F,0.4876543209876543,0.45930232558139533,0.47305389221556887,688.0
Wing G,0.5678486997635934,0.7525062656641605,0.6472648881703045,1596.0
accuracy,0.5750513046027558,0.5750513046027558,0.5750513046027558,0.5750513046027558
macro avg,0.6526788400450473,0.4700096456507704,0.46843906224665877,6822.0
weighted avg,0.6004964531901117,0.5750513046027558,0.54483609202162,6822.0
