number,value,params_auto_class_weights,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state,user_attrs_best_iteration,user_attrs_class_order
0,1.356615177357319,None,0.28901047939795066,5,1574,4.265176242679963,0.010934684638488915,COMPLETE,1573,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
1,1.4373765340312155,Balanced,0.8583637301772611,7,830,1.3058347641080414,0.02028810744910248,COMPLETE,707,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
2,1.4631182319868308,Balanced,0.11216820671006655,8,1524,4.8084181187872135,0.12489196332777568,COMPLETE,126,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
3,1.3594107693225488,None,0.8193675822958545,8,1813,1.2498941272474087,0.012496809703301288,COMPLETE,1061,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
4,1.3920864503797719,SqrtBalanced,0.414689557599928,8,2185,3.8979330679984514,0.04964768499672374,COMPLETE,345,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
5,1.388718846898036,SqrtBalanced,0.4111342831952761,7,2189,14.928704574927794,0.02007381814461409,COMPLETE,2119,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
6,1.4408320777258838,Balanced,0.6680396276239797,6,2315,1.6444519520483185,0.010279492439753865,COMPLETE,1563,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
7,1.3505567738776558,None,0.7271057636182255,5,1175,3.0771315818710114,0.07173482355342767,COMPLETE,259,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
8,1.4614375620861866,Balanced,0.1040558785283674,7,1086,7.64533364556511,0.1427169795362329,COMPLETE,198,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
9,1.4470426322490657,Balanced,0.49191699806854594,7,2366,4.845744881260903,0.012916113568188664,COMPLETE,1451,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
10,1.3499591512723956,None,0.9824042693910446,4,526,2.2903140634031076,0.062921999083405,COMPLETE,376,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
11,1.3475845486183324,None,0.9934287776994215,4,533,2.3259093451715462,0.06949534757627826,COMPLETE,490,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
12,1.3498340812908072,None,0.983844639910516,4,536,2.2574812892393257,0.052266766286462686,COMPLETE,523,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
13,1.3503742808024473,None,0.9981172183682333,4,521,2.065007011518522,0.03873180816789378,COMPLETE,517,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
14,1.350481758450717,None,0.8832626296441863,4,758,2.832571738771073,0.08898211854290602,COMPLETE,226,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
15,1.349426562235482,None,0.661649557070829,5,860,1.831219995583975,0.03727035604421362,COMPLETE,534,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
16,1.3499177319851017,None,0.5827332381002005,5,1006,1.1161897926536755,0.03163214592223495,COMPLETE,657,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
17,1.3667829671184581,SqrtBalanced,0.7245205918200321,5,1362,1.6713432987902435,0.02914662022987069,COMPLETE,743,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
18,1.3617896444010449,None,0.6032592101433507,6,822,7.074432409877255,0.09574878797123562,COMPLETE,362,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
19,1.3482337059598968,None,0.23377365733686428,6,722,1.6783169011106644,0.03908323523433384,COMPLETE,464,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
20,1.3823176406241697,SqrtBalanced,0.21908871419613007,4,714,2.9728043103985846,0.023788762076002525,COMPLETE,690,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
21,1.3505721269776125,None,0.26054714487575514,6,945,1.6666639990601344,0.03949137582273285,COMPLETE,424,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
22,1.351724863463373,None,0.02967509112032013,5,1250,1.8904260842954568,0.04701366203144874,COMPLETE,462,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
23,1.3560476230357734,None,0.36076379319215396,6,659,1.4303817465874542,0.07597453620206047,COMPLETE,227,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
24,1.3538629778424505,None,0.5598226304656444,5,883,2.6124085299776816,0.03323267949796157,COMPLETE,643,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
25,1.3571377269447789,None,0.7911830452554084,6,691,3.7056666427198808,0.0601061180360323,COMPLETE,277,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
26,1.3497905551681655,None,0.4927826545665874,5,1037,1.0397106231231137,0.10069862607072717,COMPLETE,210,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
27,1.3476955427033954,None,0.9276142504166965,4,652,1.9381942671915953,0.040759015383379324,COMPLETE,650,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
28,1.3520656114951255,None,0.9063862561867541,4,629,2.5140697354751462,0.025837148602221822,COMPLETE,619,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
29,1.3713960209146923,SqrtBalanced,0.9388293731643557,4,1762,1.4461550834532295,0.04360136028543927,COMPLETE,576,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
30,1.3532499899315695,None,0.7788092742410918,4,649,3.4023809810422274,0.054807781835943634,COMPLETE,552,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
