,precision,recall,f1-score,support
C,0.632010081915564,0.9244239631336405,0.750748502994012,1085.0
Combo G,0.46166263115415657,0.5214220601640839,0.4897260273972603,1097.0
PF/C,0.5294117647058824,0.28615384615384615,0.3715046604527297,975.0
Pure PG,1.0,0.03734439834024896,0.072,241.0
Scoring PG,0.48427672955974843,0.4295676429567643,0.45528455284552843,717.0
Stretch 4,0.9,0.0851063829787234,0.15550755939524838,423.0
Wing F,0.4288164665523156,0.3633720930232558,0.3933910306845004,688.0
Wing G,0.526124488868696,0.7255639097744361,0.6099552278114301,1596.0
accuracy,0.5299032541776605,0.5299032541776605,0.5299032541776605,0.5299032541776605
macro avg,0.6202877703445453,0.4216192870656249,0.4122646951975887,6822.0
weighted avg,0.5587801442626067,0.5299032541776605,0.4936559537462799,6822.0
