hs_year,player_key,full_name,hs_position,hs_height_in,hs_weight,hs_stars,hs_rating,hs_national_rank,hs_position_rank,scouting_report,scouting_report_evaluator_name,bv_role,has_scouting_report_text,has_scouting_report_evaluator,_embedding_cache_key
2010,7560,Duje Dukan,SF,82,218,3.0,88.29629629629629,198.0,45.0,,__missing__,C,False,False,7560_2010
2010,7839,Daniel Bejarano,SG,77,200,4.0,95.61545394442199,76.0,18.0,,__missing__,Wing G,False,False,7839_2010
2010,7843,Billy Baron,PG,,-,3.0,84.44444444444443,318.0,63.0,,__missing__,Scoring PG,False,False,7843_2010
2010,7949,Joe Harris,SG,78,225,4.0,91.7536813922356,130.0,31.0,,__missing__,Wing G,False,False,7949_2010
2010,7987,Casey Prather,SF,77,189,4.0,96.73101513855836,56.0,10.0,,__missing__,Wing G,False,False,7987_2010
2010,7988,Bruce Ellington,PG,69,200,4.0,94.44444444444444,96.0,21.0,,__missing__,Scoring PG,False,False,7988_2010
2010,7989,Damontre Harris,PF,81,200,4.0,96.65885052998726,58.0,14.0,,__missing__,C,False,False,7989_2010
2010,7990,Brian Richardson,SG,,-,3.0,88.07407407407406,210.0,48.0,,__missing__,Wing G,False,False,7990_2010
2010,7991,RJ Slawson,SF,79,207,4.0,94.46899045118009,95.0,23.0,,__missing__,Stretch 4,False,False,7991_2010
2010,7992,Eric Smith,PG,,-,3.0,88.07407407407406,210.0,44.0,,__missing__,Scoring PG,False,False,7992_2010
2010,7999,Stacey Poole,SG,77,200,4.0,96.79198398946959,54.0,13.0,,__missing__,Wing G,False,False,7999_2010
2010,8004,Brandon Knight,PG,75,189,5.0,99.73127061131252,5.0,3.0,,__missing__,Combo G,False,False,8004_2010
2010,8005,Doron Lamb,SG,76,200,5.0,98.51101985727443,27.0,4.0,,__missing__,Combo G,False,False,8005_2010
2010,8018,Terrence Jones,SF,81,255,5.0,99.51448101788594,9.0,3.0,,__missing__,PF/C,False,False,8018_2010
2010,8024,Eric Atkins,PG,73,170,4.0,92.46318607764391,109.0,24.0,,__missing__,Scoring PG,False,False,8024_2010
2010,8025,Alex Dragicevich,SG,79,221,3.0,87.85185185185185,223.0,52.0,,__missing__,Wing F,False,False,8025_2010
2010,8041,Crandall Head,SG,76,185,4.0,95.35939101156492,82.0,21.0,,__missing__,Combo G,False,False,8041_2010
2010,8042,Meyers Leonard,C,85,245,5.0,98.47951245541607,28.0,6.0,,__missing__,C,False,False,8042_2010
2010,8044,Jereme Richmond,SF,79,205,5.0,98.28948305637671,30.0,6.0,,__missing__,PF/C,False,False,8044_2010
2010,8059,Kyle Speller,SG,74,185,,,,,,__missing__,Combo G,False,False,8059_2010
2010,8060,McPherson Moore,CG,75,200,,,,,,__missing__,Wing G,False,False,8060_2010
2010,8061,Jason Morris,CG,77,190,4.0,95.31832949852856,83.0,2.0,,__missing__,Wing G,False,False,8061_2010
2010,8066,Nate Hicks,C,82,200,3.0,85.25925925925925,295.0,23.0,,__missing__,C,False,False,8066_2010
2010,8168,KT Harrell,SG,76,215,5.0,97.44113306711525,44.0,11.0,,__missing__,Wing G,False,False,8168_2010
2010,8352,Trae Golden,SG,74,210,4.0,95.54038375725122,77.0,19.0,,__missing__,Pure PG,False,False,8352_2010
2010,8358,Jordan McRae,SG,78,185,5.0,97.72592617013781,39.0,7.0,,__missing__,Stretch 4,False,False,8358_2010
2010,8382,Akil Mitchell,PF,81,235,3.0,86.2962962962963,246.0,58.0,,__missing__,Wing F,False,False,8382_2010
2010,8396,Keith Appling,PG,73,185,5.0,97.73334885435462,38.0,12.0,,__missing__,Wing G,False,False,8396_2010
2010,8410,Adreian Payne,C,82,237,5.0,98.7832943883232,20.0,4.0,,__missing__,C,False,False,8410_2010
2010,8567,Tristan Thompson,PF,82,238,5.0,99.38244515510098,10.0,3.0,,__missing__,C,False,False,8567_2010
2010,8568,Cory Joseph,PG,75,190,5.0,99.30135731602468,13.0,4.0,,__missing__,Combo G,False,False,8568_2010
2010,8936,Justin Jackson,PF,80,220,4.0,89.40740740740739,162.0,34.0,,__missing__,Wing F,False,False,8936_2010
2010,9205,Erik Swoope,SF,77,246,3.0,83.55555555555556,349.0,67.0,,__missing__,Wing G,False,False,9205_2010
2010,9234,Scottie Wilbekin,PG,74,176,2.0,76.66666666666667,483.0,91.0,,__missing__,Scoring PG,False,False,9234_2010
2010,10091,Allen Payne,PF,78,205,3.0,88.07407407407406,210.0,49.0,,__missing__,Wing G,False,False,10091_2010
2010,10221,Bernard James,PF,82,240,3.0,80.0,466.0,116.0,,__missing__,C,False,False,10221_2010
2010,10222,Ian Miller,PG,72,160,5.0,98.1086618016948,33.0,11.0,,__missing__,Combo G,False,False,10222_2010
2010,10223,Okaro White,SF,80,215,4.0,96.84075445730763,50.0,8.0,,__missing__,Wing F,False,False,10223_2010
2010,10312,Sherrard Brantley,PG,74,190,2.0,76.66666666666667,483.0,91.0,,__missing__,Combo G,False,False,10312_2010
2010,10318,Marcus Thornton,PF,80,235,4.0,92.17135207496653,117.0,24.0,,__missing__,PF/C,False,False,10318_2010
2010,10320,Donte Williams,PF,81,200,3.0,85.85185185185185,262.0,67.0,,__missing__,C,False,False,10320_2010
2010,10362,Aaron Craft,PG,74,195,4.0,92.94267981014968,103.0,22.0,,__missing__,Pure PG,False,False,10362_2010
2010,10372,Jordan Sibert,SG,76,180,5.0,97.0802313337672,46.0,12.0,,__missing__,Wing G,False,False,10372_2010
2010,10380,Lenzelle Smith Jr.,SG,76,210,4.0,91.81004956279969,127.0,30.0,,__missing__,Wing G,False,False,10380_2010
2010,10381,Jared Sullinger,PF,81,260,5.0,99.83429410354502,3.0,1.0,,__missing__,PF/C,False,False,10381_2010
2010,10383,Deshaun Thomas,PF,79,215,5.0,98.83522061625781,18.0,5.0,,__missing__,Stretch 4,False,False,10383_2010
2010,10573,Will Yeguete,PF,79,210,3.0,87.18518518518518,234.0,53.0,,__missing__,PF/C,False,False,10573_2010
2010,10574,Patric Young,C,80,220,5.0,99.0467813621297,16.0,3.0,,__missing__,C,False,False,10574_2010
2010,11007,Trevor Releford,PG,72,195,4.0,96.59017408100698,59.0,14.0,,__missing__,Scoring PG,False,False,11007_2010
2010,11019,Carl Engstrom,C,85,250,2.0,76.66666718669852,685.0,51.0,,__missing__,C,False,False,11019_2010
2010,11077,Rion Brown,SG,77,187,4.0,96.12664800616608,70.0,15.0,,__missing__,Wing G,False,False,11077_2010
2010,11078,Raphael Akpejiori,C,81,241,3.0,86.07407407407408,255.0,20.0,,__missing__,C,False,False,11078_2010
2010,11586,Harrison Barnes,SF,80,225,5.0,99.98661311914323,1.0,1.0,,__missing__,Wing F,False,False,11586_2010
2010,11587,Reggie Bullock,SG,79,205,5.0,99.18494694293543,15.0,2.0,,__missing__,Wing G,False,False,11587_2010
2010,11588,Kendall Marshall,PG,76,200,5.0,98.40813203830491,29.0,9.0,,__missing__,Pure PG,False,False,11588_2010
2010,11860,Johnathan Loyd,PG,69,165,3.0,88.51851851851852,182.0,37.0,,__missing__,Scoring PG,False,False,11860_2010
2010,13953,Ryan Harrow,PG,74,170,5.0,98.52732099981968,26.0,8.0,,__missing__,Scoring PG,False,False,13953_2010
2010,14673,Will Sheehey,SG,77,190,4.0,91.23694779116465,145.0,38.0,,__missing__,Wing F,False,False,14673_2010
2010,14674,Victor Oladipo,SG,76,210,4.0,91.4190093708166,138.0,35.0,,__missing__,Wing G,False,False,14674_2010
2010,15906,Tyrone Nared,PF,80,220,2.0,76.66666666666667,483.0,119.0,,__missing__,PF/C,False,False,15906_2010
2010,16344,Rickey Scott,CG,75,202,4.0,92.04016064257029,121.0,5.0,,__missing__,Combo G,False,False,16344_2010
2010,16997,Perry Jones,PF,83,235,5.0,99.55665505167862,8.0,2.0,,__missing__,C,False,False,16997_2010
2010,18470,J.D. Weatherspoon,SF,78,215,4.0,91.76171352074965,129.0,30.0,,__missing__,Wing G,False,False,18470_2010
2010,18474,Keith Davis,C,81,220,4.0,90.51851851851852,153.0,15.0,,__missing__,C,False,False,18474_2010
2010,18482,Kourtney Roberson,PF,81,215,4.0,91.71195372347808,132.0,26.0,,__missing__,C,False,False,18482_2010
2010,18525,Kevin Noreen,PF,82,245,4.0,91.48821548821547,136.0,27.0,,__missing__,C,False,False,18525_2010
2010,18527,Juwan Staten,PG,72,190,4.0,96.25381835439457,67.0,16.0,,__missing__,Pure PG,False,False,18527_2010
2010,18615,Terrell Stoglin,SG,73,185,4.0,91.71423710449379,131.0,32.0,,__missing__,Pure PG,False,False,18615_2010
2010,18761,Cameron Clark,SG,79,200,5.0,97.93317521971267,36.0,6.0,,__missing__,Wing G,False,False,18761_2010
2010,18768,Mychal Parker,SF,,-,4.0,96.46375780477405,64.0,12.0,,__missing__,PF/C,False,False,18768_2010
2010,18898,Tyler Neal,SF,78,175,3.0,82.66666666666667,375.0,74.0,,__missing__,Stretch 4,False,False,18898_2010
2010,19128,Pe'Shon Howard,PG,,-,3.0,83.33333333333333,358.0,70.0,,__missing__,Pure PG,False,False,19128_2010
2010,19131,Ashton Pankey,PF,81,220,3.0,83.33333333333333,358.0,87.0,,__missing__,C,False,False,19131_2010
2010,19205,Cory Stanton,SG,70,175,2.0,76.66666666666667,483.0,110.0,,__missing__,Combo G,False,False,19205_2010
2010,19232,Jarell Eddie,SF,79,218,4.0,95.71603586061417,74.0,15.0,,__missing__,Stretch 4,False,False,19232_2010
2010,20090,Alandise Harris,SF,,-,2.0,76.66666666666667,483.0,85.0,,__missing__,PF/C,False,False,20090_2010
2010,20181,T.J. McConnell,PG,74,188,3.0,83.11111111111113,365.0,72.0,,__missing__,Scoring PG,False,False,20181_2010
