season,year,rank,name,team,basic_obpr,basic_dbpr,basic_bpr,basic_poss,basic_box_obpr,basic_box_dbpr,basic_box_bpr,basic_adj_team_off_eff,basic_adj_team_def_eff,basic_adj_team_eff_margin,basic_plus_minus,basic_players,basic_color_o,basic_color_d,basic_color_diff,player_name_join,advanced_obpr,advanced_dbpr,advanced_bpr,advanced_poss,advanced_box_obpr,advanced_box_dbpr,advanced_box_bpr,advanced_adj_team_off_eff,advanced_adj_team_def_eff,advanced_adj_team_eff_margin,advanced_plus_minus,advanced_position,advanced_role,advanced_class,advanced_players,advanced_color_o,advanced_color_d,advanced_color_diff
2011-12,2012,1,Anthony Davis,Kentucky,5.92994,5.91372,11.84366,2135,5.3954455886609,5.84943866505508,11.244884253716,122.603853518034,82.380053178268,40.2238003397662,609,1479237,#FFB14F,#FF9D23,#FF9D23,anthony davis,5.92994,5.91372,11.84366,2135,5.3954455886609,5.84943866505508,11.244884253716,122.603853518034,82.380053178268,40.2238003397662,609,5.0,2.72647693017852,,1479237,#FFB14F,#FF9D23,#FF9D23
2011-12,2012,2,Draymond Green,Michigan State,5.48596,5.44928,10.93524,2008,5.13135775836457,4.31294371321322,9.44430147157779,115.158983660419,79.7332021951671,35.4257814652523,442,1480973,#FFB75C,#FFA534,#FFA534,draymond green,5.48596,5.44928,10.93524,2008,5.13135775836457,4.31294371321322,9.44430147157779,115.158983660419,79.7332021951671,35.4257814652523,442,4.08450416729841,1.87316888925425,,1480973,#FFB75C,#FFA534,#FFA534
2011-12,2012,3,Jae Crowder,Marquette,6.11197,4.48038,10.59235,2048,6.13833596550398,3.73080858503311,9.86914455053708,114.328961044296,84.695448964033,29.6335120802628,370,1479328,#FFAF4A,#FFB558,#FFA83A,jae crowder,6.11197,4.48038,10.59235,2048,6.13833596550398,3.73080858503311,9.86914455053708,114.328961044296,84.695448964033,29.6335120802628,370,3.99127273664414,2.0952694074085,,1479328,#FFAF4A,#FFB558,#FFA83A
2011-12,2012,4,Jared Sullinger,Ohio State,5.6975,4.42044,10.11794,1880,5.18133497063864,2.84183279562219,8.02316776626083,119.425357991333,78.1853319510528,41.2400260402798,515,1479703,#FFB456,#FFB65A,#FFAC43,jared sullinger,5.6975,4.42044,10.11794,1880,5.18133497063864,2.84183279562219,8.02316776626083,119.425357991333,78.1853319510528,41.2400260402798,515,5.0,2.25823344760647,,1479703,#FFB456,#FFB65A,#FFAC43
2011-12,2012,5,Dion Waiters,Syracuse,5.90774,3.98153,9.88927,1428,5.05393932757475,2.61092155994292,7.66486088751768,119.444904156504,79.0586493243571,40.3862548321465,392,1481151,#FFB150,#FFBD6B,#FFAD47,dion waiters,5.90774,3.98153,9.88927,1428,5.05393932757475,2.61092155994292,7.66486088751768,119.444904156504,79.0586493243571,40.3862548321465,392,1.55804275376993,1.64189804585607,,1481151,#FFB150,#FFBD6B,#FFAD47
2011-12,2012,6,Aaron Craft,Ohio State,4.72606,4.08114,8.8072,2084,4.12509004037199,3.15343791877448,7.27852795914647,119.810510703254,80.6067738473812,39.2037368558731,500,1442144,#FFC173,#FFBC67,#FFB65B,aaron craft,4.72606,4.08114,8.8072,2084,4.12509004037199,3.15343791877448,7.27852795914647,119.810510703254,80.6067738473812,39.2037368558731,500,1.03360759852488,1.95070742622474,,1442144,#FFC173,#FFBC67,#FFB65B
2011-12,2012,7,Jordan Taylor,Wisconsin,6.37377,2.41086,8.78463,1872,5.5153731743129,1.17051312111283,6.68588629542573,112.65293404128,82.8568365258985,29.796097515381,300,1481482,#FFAB42,#FFD7A5,#FFB75C,jordan taylor,6.37377,2.41086,8.78463,1872,5.5153731743129,1.17051312111283,6.68588629542573,112.65293404128,82.8568365258985,29.796097515381,300,1.38116477376134,1.23899738143407,,1481482,#FFAB42,#FFD7A5,#FFB75C
2011-12,2012,8,Cody Zeller,Indiana,5.19915,3.35182,8.55097,1730,5.52892187271537,2.6736097428396,8.20253161555498,120.023680960245,87.2841500811935,32.7395308790519,394,1462670,#FFBB65,#FFC782,#FFB860,cody zeller,5.19915,3.35182,8.55097,1730,5.52892187271537,2.6736097428396,8.20253161555498,120.023680960245,87.2841500811935,32.7395308790519,394,4.36421435708229,2.05152647092353,,1462670,#FFBB65,#FFC782,#FFB860
2011-12,2012,9,C.J. McCollum,Lehigh,5.92213,2.54785,8.46998,1972,5.17964475453499,2.22575827388048,7.40540302841548,113.693639598905,92.293069639244,21.4005699596607,397,1462933,#FFB14F,#FFD5A0,#FFB961,cj mccollum,5.92213,2.54785,8.46998,1972,5.17964475453499,2.22575827388048,7.40540302841548,113.693639598905,92.293069639244,21.4005699596607,397,2.48159338150947,1.0,,1462933,#FFB14F,#FFD5A0,#FFB961
2011-12,2012,10,Tyler Zeller,North Carolina,5.0169,3.41565,8.43255,1862,5.42395849241384,2.54355389109469,7.96751238350853,119.469919880245,81.913750085037,37.5561697952079,498,1480970,#FFBD6A,#FFC680,#FFB962,tyler zeller,5.0169,3.41565,8.43255,1862,5.42395849241384,2.54355389109469,7.96751238350853,119.469919880245,81.913750085037,37.5561697952079,498,4.78189864654723,2.18860308785673,,1480970,#FFBD6A,#FFC680,#FFB962
