barttorvik_year,row_number,player_name,raw_team_1,raw_team_2,raw_flag,page_title,source_url,scraped_at_utc
2022,1,Fletcher Abee,The Citadel,UNC Asheville,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,2,Riley Abercrombie,Rice,Northern Colorado,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,3,Micaiah Abii,Liberty,Dallas Baptist,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,4,Henry Abraham,Eastern Illinois,Coastal Carolina,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,5,Linton Acliese III,San Francisco St.,Eastern Washington,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,6,Tyson Acuff,Duquesne,Eastern Michigan,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,7,Isaiah Adams,UCF,Buffalo,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,8,Quadry Adams,St. Bonaventure,Sacramento St.,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,9,Max Adelman,Vanderbilt,,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,10,Quincy Ademokoya,Temple,Kennesaw St.,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,11,Emmanuel Adeoye,Texas A&M Commerce,,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,12,Chibuzo Agbo,Texas Tech,Boise St.,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,13,Max Agbonkpolo,USC,Wyoming,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,14,Christian Agnew,UTEP,Southeastern Louisiana,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,15,Ajang Aguek,Northern Arizona,Lander,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,16,John Akot Aguer,Mississippi Valley St.,Concord,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,17,Nico Aguirre,Southwest Baptist,Southern Miss,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,18,Akrum Ahemed,Canisius,UNC Greensboro,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,19,Justin Ahrens,Ohio St.,Loyola Marymount,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,20,Kim Aiken Jr.,Arizona,New Mexico St.,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,21,Fardaws Aimaq,Utah Valley,Texas Tech,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,22,Nana Akenten,Southeast Missouri St.,Mercer,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,23,Bradley Akhile,Incarnate Word,Oklahoma Baptist,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,24,Daniel Akin,Cal Baptist,Utah St.,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,25,Mayowa Akinsanya,Maryland Eastern Shore,Cal Poly Pomona,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,26,Kaodirichi Akobundu-Ehiogu,UT Arlington,Memphis,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,27,Akok Akok,Connecticut,Georgetown,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,28,Emmanuel Akot,Boise St.,Western Kentucky,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,29,Jonathan Aku,Stephen F. Austin,Grambling St.,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2022,30,Theo Akwuba,Louisiana Lafayette,Mississippi,Yes,2022 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2022&xvalue=trans,2026-05-31T04:55:54.797554+00:00
