year,player_key,first_name,last_name,full_name,position,position_group,height,weight,stars,rating,transfer_rating,high_school_rating,transfer_rank,high_school_rank,position_rank,state_rank,eligibility_type,eligibility_years,status,institution_status,transfer_date,transfer_commit_date,source_school,source_institution_key,source_school_root_path,destination_school,destination_institution_key,destination_school_root_path,destination_transferred,destination_options_count,player_profile_url,avatar_url,last_update_date,source
2025,46137128,Yaxel,Lendeborg,Yaxel Lendeborg,PF,Forward,6-9,230,5,0.99,0.99,,1,,1,1,Immediate,2.0,Enrolled,T,2025-03-31T17:46:00Z,2025-04-05T13:11:00Z,UAB,24059,/college/alabama-birmingham,Michigan,24042.0,/college/michigan,True,1.0,https://247sports.com/player/yaxel-lendeborg-46137128/college-303531,https://s3media.247sports.com/Uploads/Assets/46/44/12044046.jpeg,2025-04-05T19:58:21Z,247sports_api_transfers
2025,46102421,PJ,Haggerty,PJ Haggerty,PG,Guard,6-3,191,5,0.99,0.99,0.9,2,126.0,1,1,Immediate,3.0,Enrolled,T,2025-04-17T20:05:00Z,2025-05-26T19:27:00Z,Memphis,24053,/college/memphis,Kansas State,24023.0,/college/kansas-state,True,1.0,https://247sports.com/player/pj-haggerty-46102421/college-323421,https://s3media.247sports.com/Uploads/Assets/985/722/12722985.jpg,2025-05-26T20:27:32Z,247sports_api_transfers
2025,46156598,Bennett,Stirtz,Bennett Stirtz,PG,Guard,6-4,180,5,0.98,0.98,,3,,2,1,Immediate,,Enrolled,T,2025-03-25T16:17:00Z,2025-03-25T16:36:00Z,Drake,24218,/college/drake,Iowa,24041.0,/college/iowa,True,1.0,https://247sports.com/player/bennett-stirtz-46156598/college-331676,https://s3media.247sports.com/Uploads/Assets/832/950/12950832.jpeg,2025-03-25T16:37:13Z,247sports_api_transfers
2025,46117555,Donovan,Dent,Donovan Dent,PG,Guard,6-2,185,5,0.98,0.98,0.9,4,116.0,3,1,Immediate,,Enrolled,T,2025-03-25T17:21:00Z,2025-03-29T01:03:00Z,New Mexico,24081,/college/new-mexico,UCLA,24093.0,/college/ucla,True,1.0,https://247sports.com/player/donovan-dent-46117555/college-324222,https://s3media.247sports.com/Uploads/Assets/442/730/12730442.jpg,2025-03-29T01:03:54Z,247sports_api_transfers
2025,46129312,Darrion,Williams,Darrion Williams,PF,Forward,6-6,225,5,0.98,0.98,0.88,5,215.0,2,1,Immediate,,Enrolled,T,2025-04-08T21:48:00Z,2025-05-22T21:51:00Z,Texas Tech,24030,/college/texas-tech,NC State,24015.0,/college/north-carolina-state,True,1.0,https://247sports.com/player/darrion-williams-46129312/college-302683,https://s3media.247sports.com/Uploads/Assets/418/33/13033418.jpeg,2025-05-22T21:51:45Z,247sports_api_transfers
2025,46114866,Boogie,Fland,Boogie Fland,CG,Guard,6-2,175,5,0.98,0.98,0.97,6,22.0,1,1,Immediate,,Enrolled,T,2025-04-22T19:57:00Z,2025-05-20T15:05:00Z,Arkansas,24097,/college/arkansas,Florida,24099.0,/college/florida,True,1.0,https://247sports.com/player/boogie-fland-46114866/college-323042,https://s3media.247sports.com/Uploads/Assets/47/716/12716047.jpg,2025-05-20T15:06:01Z,247sports_api_transfers
2025,46111723,Ian,Jackson,Ian Jackson,SG,Guard,6-4,190,5,0.98,0.98,0.98,7,8.0,1,1,Immediate,,Enrolled,T,2025-04-07T19:41:00Z,2025-04-21T16:09:00Z,North Carolina,24014,/college/north-carolina,St. John's,24309.0,/college/saint-johns,True,1.0,https://247sports.com/player/ian-jackson-46111723/college-317128,https://s3media.247sports.com/Uploads/Assets/628/644/12644628.png,2025-04-21T16:09:24Z,247sports_api_transfers
2025,46129001,Rob,Wright III,Rob Wright III,PG,Guard,6-1,183,5,0.98,0.98,0.97,8,23.0,4,2,Immediate,,Enrolled,T,2025-04-07T14:19:00Z,2025-04-10T20:50:00Z,Baylor,24019,/college/baylor,BYU,24079.0,/college/byu,True,1.0,https://247sports.com/player/rob-wright-iii-46129001/college-315841,https://s3media.247sports.com/Uploads/Assets/234/720/12720234.jpg,2025-04-10T20:50:16Z,247sports_api_transfers
2025,46142985,Adrian,Wooley,Adrian Wooley,CG,Guard,6-5,180,5,0.98,0.98,0.85,9,339.0,2,1,Immediate,,Enrolled,T,2025-03-26T19:15:00Z,,Kennesaw State,24363,/college/kennesaw-state,Louisville,24033.0,/college/louisville,True,1.0,https://247sports.com/player/adrian-wooley-46142985/college-323351,https://s3media.247sports.com/Uploads/Assets/555/11/13011555.jpg,2025-03-31T22:29:15Z,247sports_api_transfers
2025,46131379,Jayden,Quaintance,Jayden Quaintance,C,Center,6-9,230,5,0.98,0.98,0.98,10,9.0,1,1,Immediate,,Enrolled,T,2025-04-02T17:08:00Z,2025-04-08T13:58:00Z,Arizona State,24088,/college/arizona-state,Kentucky,24101.0,/college/kentucky,True,1.0,https://247sports.com/player/jayden-quaintance-46131379/college-322807,https://s3media.247sports.com/Uploads/Assets/534/29/13029534.jpg,2025-04-08T13:59:04Z,247sports_api_transfers
2025,46141075,Moustapha,Thiam,Moustapha Thiam,C,Center,7-2,235,4,0.97,0.97,0.94,11,43.0,2,1,Immediate,,Enrolled,T,2025-04-16T21:52:00Z,2025-04-21T15:28:00Z,UCF,24060,/college/central-florida,Cincinnati,24031.0,/college/cincinnati,True,1.0,https://247sports.com/player/moustapha-thiam-46141075/college-323025,https://s3media.247sports.com/Uploads/Assets/767/720/12720767.jpg,2025-04-21T15:28:20Z,247sports_api_transfers
2025,46127914,Ja'Kobi,Gillespie,Ja'Kobi Gillespie,PG,Guard,6-1,186,4,0.97,0.97,,12,,5,1,Immediate,,Enrolled,T,2025-03-31T18:26:00Z,2025-04-04T17:55:00Z,Maryland,24012,/college/maryland,Tennessee,24106.0,/college/tennessee,True,1.0,https://247sports.com/player/jakobi-gillespie-46127914/college-317400,https://s3media.247sports.com/Uploads/Assets/498/718/12718498.jpg,2025-04-04T17:56:41Z,247sports_api_transfers
2025,46127714,Silas,Demary Jr.,Silas Demary Jr.,CG,Guard,6-5,190,4,0.97,0.97,0.92,13,72.0,3,2,Immediate,,Enrolled,T,2025-03-27T18:37:00Z,2025-04-03T18:04:00Z,Georgia,24100,/college/georgia,UConn,24032.0,/college/connecticut,True,1.0,https://247sports.com/player/silas-demary-jr-46127714/college-302968,https://s3media.247sports.com/Uploads/Assets/26/18/12018026.jpeg,2025-04-03T18:04:24Z,247sports_api_transfers
2025,46118010,Ryan,Conwell,Ryan Conwell,CG,Guard,6-4,215,4,0.97,0.97,0.81,14,388.0,4,1,Immediate,,Enrolled,T,2025-03-28T13:51:00Z,2025-04-02T00:40:00Z,Xavier,24316,/college/xavier,Louisville,24033.0,/college/louisville,True,1.0,https://247sports.com/player/ryan-conwell-46118010/college-323276,https://s3media.247sports.com/Uploads/Assets/83/709/12709083.jpg,2025-04-02T00:41:26Z,247sports_api_transfers
2025,46116819,Dedan,Thomas Jr.,Dedan Thomas Jr.,PG,Guard,6-1,170,4,0.97,0.97,0.95,15,34.0,6,1,Immediate,,Enrolled,T,2025-03-17T20:58:00Z,2025-04-01T01:43:00Z,UNLV,24084,/college/unlv,LSU,24102.0,/college/lsu,True,1.0,https://247sports.com/player/dedan-thomas-jr-46116819/college-303617,https://s3media.247sports.com/Uploads/Assets/687/48/12048687.jpeg,2025-04-01T01:58:25Z,247sports_api_transfers
